rank_ecr,player_name,player_short_name,player_team_id,player_positions,player_opponent,pos_rank,r2p_pts,rank_min,rank_max,rank_ave,rank_std,player_bye_week,player_owned_avg,player_page_url,player_id
18,Javonte Williams,J. Williams,DAL,RB,vs. GB,RB18,11.4,17,22,19.09,1.44,10,89.9,https://www.fantasypros.com/nfl/players/javonte-williams.php,22739
19,Trey Benson,T. Benson,ARI,RB,vs. SEA,RB19,11.0,15,23,19.27,2.45,8,55.6,https://www.fantasypros.com/nfl/players/trey-benson.php,25388
20,J.K. Dobbins,J.K. Dobbins,DEN,RB,vs. CIN,RB20,11.0,18,24,20.27,1.91,12,86.4,https://www.fantasypros.com/nfl/players/jk-dobbins.php,19245
21,Chase Brown,C. Brown,CIN,RB,at DEN,RB21,10.9,15,24,20.82,2.85,10,99.3,https://www.fantasypros.com/nfl/players/chase-brown.php,25324
22,Travis Etienne Jr.,T. Etienne Jr.,JAC,RB,at SF,RB22,10.6,17,27,21.00,2.83,8,88.3,https://www.fantasypros.com/nfl/players/travis-etienne.php,19231
23,Cam Skattebo,C. Skattebo,NYG,RB,vs. LAC,RB23,10.5,18,28,23.18,2.59,14,80.7,https://www.fantasypros.com/nfl/players/cam-skattebo.php,27166
24,Alvin Kamara,A. Kamara,NO,RB,at BUF,RB24,10.4,19,27,23.36,2.31,11,98.7,https://www.fantasypros.com/nfl/players/alvin-kamara.php,16421
25,Tony Pollard,T. Pollard,TEN,RB,at HOU,RB25,10.3,20,29,25.36,2.46,10,93.6,https://www.fantasypros.com/nfl/players/tony-pollard.php,18705
26,Quinshon Judkins,Q. Judkins,CLE,RB,at DET,RB26,10.2,22,29,25.45,2.27,9,70.9,https://www.fantasypros.com/nfl/players/quinshon-judkins.php,25391
27,D'Andre Swift,D. Swift,CHI,RB,at LV,RB27,10.1,23,30,27.00,1.95,5,94.1,https://www.fantasypros.com/nfl/players/dandre-swift.php,19210
28,Jaylen Warren,J. Warren,PIT,RB,vs. MIN,RB28,10.0,23,30,27.27,2.14,5,89.6,https://www.fantasypros.com/nfl/players/jaylen-warren.php,24209
29,TreVeyon Henderson,T. Henderson,NE,RB,vs. CAR,RB29,10.0,26,32,28.82,1.59,14,95.1,https://www.fantasypros.com/nfl/players/treveyon-henderson.php,23065
30,David Montgomery,D. Montgomery,DET,RB,vs. CLE,RB30,8.6,26,31,29.00,1.81,8,96,https://www.fantasypros.com/nfl/players/david-montgomery.php,18239
31,Nick Chubb,N. Chubb,HOU,RB,vs. TEN,RB31,8.6,27,32,31.09,1.56,6,78.2,https://www.fantasypros.com/nfl/players/nick-chubb.php,17246
32,Jacory Croskey-Merritt,J. Croskey-Merritt,WAS,RB,at ATL,RB32,7.2,29,34,31.45,1.37,12,84.5,https://www.fantasypros.com/nfl/players/jacory-croskeymerritt.php,27316
33,Rhamondre Stevenson,R. Stevenson,NE,RB,vs. CAR,RB33,6.7,29,34,32.45,1.50,14,80.4,https://www.fantasypros.com/nfl/players/rhamondre-stevenson.php,22726
34,Isiah Pacheco,I. Pacheco,KC,RB,vs. BAL,RB34,6.4,33,37,34.55,0.99,10,93.4,https://www.fantasypros.com/nfl/players/isiah-pacheco.php,24333
35,Bhayshul Tuten,B. Tuten,JAC,RB,at SF,RB35,6.3,35,37,35.91,0.79,8,55.8,https://www.fantasypros.com/nfl/players/bhayshul-tuten.php,27297
36,Kareem Hunt,K. Hunt,KC,RB,vs. BAL,RB36,6.2,36,38,37.00,0.95,10,23.5,https://www.fantasypros.com/nfl/players/kareem-hunt.php,16425
37,RJ Harvey,RJ Harvey,DEN,RB,vs. CIN,RB37,5.9,37,45,38.55,2.23,12,88.1,https://www.fantasypros.com/nfl/players/rj-harvey.php,27142
38,Ollie Gordon II,O. Gordon II,MIA,RB,vs. NYJ,RB38,5.8,34,50,39.64,5.14,12,31.8,https://www.fantasypros.com/nfl/players/ollie-gordon.php,25984
39,Chris Rodriguez Jr.,C. Rodriguez Jr.,WAS,RB,at ATL,RB39,5.8,35,43,39.64,2.31,12,5.9,https://www.fantasypros.com/nfl/players/chris-rodriguez-jr.php,22986
40,Tyler Allgeier,T. Allgeier,ATL,RB,vs. WAS,RB40,5.5,35,43,39.91,2.35,5,38.6,https://www.fantasypros.com/nfl/players/tyler-allgeier.php,24172
41,Jeremy McNichols,J. McNichols,WAS,RB,at ATL,RB41,5.4,39,47,42.00,2.83,12,1.4,https://www.fantasypros.com/nfl/players/jeremy-mcnichols.php,16445
42,Braelon Allen,B. Allen,NYJ,RB,at MIA,RB42,5.3,42,45,43.00,1.13,9,44.8,https://www.fantasypros.com/nfl/players/braelon-allen.php,24346
43,Miles Sanders,M. Sanders,DAL,RB,vs. GB,RB43,5.3,40,51,44.27,2.80,10,5.2,https://www.fantasypros.com/nfl/players/miles-sanders.php,18283
44,Blake Corum,B. Corum,LAR,RB,vs. IND,RB44,5.1,41,48,44.55,2.15,8,17.1,https://www.fantasypros.com/nfl/players/blake-corum.php,23013
45,Woody Marks,W. Marks,HOU,RB,vs. TEN,RB45,4.7,38,50,44.91,4.01,6,14.1,https://www.fantasypros.com/nfl/players/woody-marks.php,27520
46,Brian Robinson Jr.,B. Robinson Jr.,SF,RB,vs. JAC,RB46,4.4,42,48,44.91,1.88,14,63.6,https://www.fantasypros.com/nfl/players/brian-robinson-jr.php,20094
47,Kenneth Gainwell,K. Gainwell,PIT,RB,vs. MIN,RB47,4.4,41,51,45.00,2.59,5,14.9,https://www.fantasypros.com/nfl/players/kenneth-gainwell.php,23310
