rank_ecr,player_name,player_short_name,player_team_id,player_positions,player_opponent,pos_rank,r2p_pts,rank_min,rank_max,rank_ave,rank_std,player_bye_week,player_owned_avg,player_page_url,player_id
96,Xavier Hutchinson,X. Hutchinson,HOU,WR,vs. TEN,WR96,3.1,93,102,96.25,2.77,6,0.6,https://www.fantasypros.com/nfl/players/xavier-hutchinson.php,25332
97,Mack Hollins,M. Hollins,NE,WR,vs. CAR,WR97,3.1,90,107,98.25,5.74,14,0.9,https://www.fantasypros.com/nfl/players/mack-hollins.php,16489
98,Isaiah Bond,I. Bond,CLE,WR,at DET,WR98,3.1,86,110,94.86,7.75,9,1.4,https://www.fantasypros.com/nfl/players/isaiah-bond.php,24371
99,Elijah Moore,E. Moore,BUF,WR,vs. NO,WR99,2.7,95,113,100.38,5.63,7,0.8,https://www.fantasypros.com/nfl/players/elijah-moore.php,20114
100,Jaylin Lane,J. Lane,WAS,WR,at ATL,WR100,2.7,84,103,92.83,6.96,12,1,https://www.fantasypros.com/nfl/players/jaylin-lane.php,27454
101,Jahan Dotson,J. Dotson,PHI,WR,at TB,WR101,2.6,95,123,102.00,8.65,9,1.1,https://www.fantasypros.com/nfl/players/jahan-dotson.php,23101
102,Tyler Lockett,T. Lockett,TEN,WR,at HOU,WR102,2.5,98,109,102.71,4.23,10,5.6,https://www.fantasypros.com/nfl/players/tyler-lockett.php,13971
103,Kalif Raymond,K. Raymond,DET,WR,vs. CLE,WR103,2.4,100,124,106.13,7.04,8,0.6,https://www.fantasypros.com/nfl/players/kalif-raymond.php,16081
104,Chimere Dike,C. Dike,TEN,WR,at HOU,WR104,2.4,92,107,98.80,5.11,10,0.7,https://www.fantasypros.com/nfl/players/chimere-dike.php,27315
105,Arian Smith,A. Smith,NYJ,WR,at MIA,WR105,2.2,78,126,102.20,18.33,9,0.6,https://www.fantasypros.com/nfl/players/arian-smith.php,22965
106,Demarcus Robinson,D. Robinson,SF,WR,vs. JAC,WR106,2.1,85,132,102.80,17.41,14,1.1,https://www.fantasypros.com/nfl/players/demarcus-robinson.php,15665
107,Tutu Atwell,T. Atwell,LAR,WR,vs. IND,WR107,2.1,100,117,106.83,5.27,8,2.3,https://www.fantasypros.com/nfl/players/tutu-atwell.php,20126
108,Savion Williams,S. Williams,GB,WR,at DAL,WR108,2.1,93,108,103.20,5.49,5,0.7,https://www.fantasypros.com/nfl/players/savion-williams.php,27144
109,Nick Westbrook-Ikhine,N. Westbrook-Ikhine,MIA,WR,vs. NYJ,WR109,2.1,99,119,108.50,7.61,12,2.6,https://www.fantasypros.com/nfl/players/nick-westbrook.php,19747
110,Tyler Johnson,T. Johnson,NYJ,WR,at MIA,WR110,2.1,92,128,109.50,10.98,9,1.1,https://www.fantasypros.com/nfl/players/tyler-johnson.php,18633
111,Tre Harris,T. Harris,LAC,WR,at NYG,WR111,2.1,101,124,109.83,8.43,12,12.8,https://www.fantasypros.com/nfl/players/tre-harris.php,26215
112,David Moore,D. Moore,CAR,WR,at NE,WR112,1.8,99,122,107.20,7.98,14,0.9,https://www.fantasypros.com/nfl/players/david-moore.php,16757
113,Jordan Whittington,J. Whittington,LAR,WR,vs. IND,WR113,1.8,104,113,107.60,3.20,8,1.3,https://www.fantasypros.com/nfl/players/jordan-whittington.php,23135
114,Tim Patrick,T. Patrick,JAC,WR,at SF,WR114,1.8,97,121,108.20,8.26,8,1.1,https://www.fantasypros.com/nfl/players/tim-patrick.php,16556
115,Allen Lazard,A. Lazard,NYJ,WR,at MIA,WR115,1.7,80,127,108.80,15.82,9,1,https://www.fantasypros.com/nfl/players/allen-lazard.php,17301
116,Jaylin Noel,J. Noel,HOU,WR,vs. TEN,WR116,1.6,104,126,112.33,8.14,6,1.9,https://www.fantasypros.com/nfl/players/jaylin-noel.php,27122
117,Greg Dortch,G. Dortch,ARI,WR,vs. SEA,WR117,1.4,104,116,109.20,4.35,8,0.8,https://www.fantasypros.com/nfl/players/greg-dortch.php,18585
118,Tez Johnson,T. Johnson,TB,WR,vs. PHI,WR118,1.4,84,128,109.80,15.03,9,0.7,https://www.fantasypros.com/nfl/players/tez-johnson.php,27147
119,Chris Moore,C. Moore,WAS,WR,at ATL,WR119,1.4,91,118,102.00,11.58,12,0,https://www.fantasypros.com/nfl/players/chris-moore.php,15654
120,Zay Jones,Z. Jones,ARI,WR,vs. SEA,WR120,1.4,108,122,112.00,5.79,8,0.6,https://www.fantasypros.com/nfl/players/zay-jones.php,16431
121,Xavier Legette,X. Legette,CAR,WR,at NE,WR121,1.3,85,112,98.50,13.50,14,29.4,https://www.fantasypros.com/nfl/players/xavier-legette.php,26136
122,Devaughn Vele,D. Vele,NO,WR,at BUF,WR122,1.3,102,135,115.50,12.66,11,0.9,https://www.fantasypros.com/nfl/players/devaughn-vele.php,26409
123,Roman Wilson,R. Wilson,PIT,WR,vs. MIN,WR123,1.3,112,121,116.00,3.39,5,1.8,https://www.fantasypros.com/nfl/players/roman-wilson.php,26160
124,Marquez Valdes-Scantling,M. Valdes-Scantling,SF,WR,vs. JAC,WR124,1.2,98,115,106.50,8.50,14,0.6,https://www.fantasypros.com/nfl/players/marquez-valdesscantling.php,17528
125,Ryan Flournoy,R. Flournoy,DAL,WR,vs. GB,WR125,1.2,103,139,117.33,15.58,10,1.3,https://www.fantasypros.com/nfl/players/ryan-flournoy.php,26398
126,Tylan Wallace,T. Wallace,BAL,WR,at KC,WR126,1.1,110,120,114.67,4.11,7,1,https://www.fantasypros.com/nfl/players/tylan-wallace.php,19801
127,Brycen Tremayne,B. Tremayne,CAR,WR,at NE,WR127,1.1,102,128,119.25,10.43,14,0,https://www.fantasypros.com/nfl/players/brycen-tremayne.php,25631
128,Kyle Williams,K. Williams,NE,WR,vs. CAR,WR128,1.0,107,119,113.00,6.00,14,7,https://www.fantasypros.com/nfl/players/kyle-williams-wr-2025.php,27487
129,Jack Bech,J. Bech,LV,WR,vs. CHI,WR129,1.0,108,133,122.25,9.26,8,5.7,https://www.fantasypros.com/nfl/players/jack-bech.php,27224
130,KeAndre Lambert-Smith,K. Lambert-Smith,LAC,WR,at NYG,WR130,1.0,100,142,121.00,21.00,12,0.9,https://www.fantasypros.com/nfl/players/keandre-lambert-smith.php,24372
131,Jamari Thrash,J. Thrash,CLE,WR,at DET,WR131,1.0,115,124,120.67,4.03,9,0.7,https://www.fantasypros.com/nfl/players/jamari-thrash.php,26162
132,Trent Sherfield Sr.,T. Sherfield Sr.,DEN,WR,vs. CIN,WR132,0.9,113,136,123.00,9.63,12,0.1,https://www.fantasypros.com/nfl/players/trent-sherfield.php,17888
133,Van Jefferson,V. Jefferson,TEN,WR,at HOU,WR133,0.9,116,126,121.33,4.11,10,0.7,https://www.fantasypros.com/nfl/players/van-jefferson.php,19483
134,Skyy Moore,S. Moore,SF,WR,vs. JAC,WR134,0.7,117,137,126.33,8.22,14,1.9,https://www.fantasypros.com/nfl/players/skyy-moore.php,23905
135,John Metchie III,J. Metchie III,PHI,WR,at TB,WR135,0.6,121,150,135.50,14.50,9,0.8,https://www.fantasypros.com/nfl/players/john-metchie.php,22895
